index,short_doc,full_doc,category_gold,hidden_label,category_gold_reason,_golden
groups/talk.politics.guns/55089,54bebce2-7d3d-424e-a54b-30a42453184c.png,54bebce2-7d3d-424e-a54b-30a42453184c-full,talk_politics_guns,talk_politics_guns,The author of this text originally posted it under the indicated category.,TRUE
groups/sci.crypt/15251,91f13f2b-a403-4710-9cd2-fcf8b9922271.png,91f13f2b-a403-4710-9cd2-fcf8b9922271-full,sci_crypt,sci_crypt,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.sys.mac.hardware/52081,754c7229-8cdb-4495-8f27-daba39fa5921.png,754c7229-8cdb-4495-8f27-daba39fa5921-full,comp_sys_mac_hardware,comp_sys_mac_hardware,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.sport.baseball/104407,72240e78-b346-4dd2-842b-752794754301.png,72240e78-b346-4dd2-842b-752794754301-full,rec_sport_baseball,rec_sport_baseball,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.os.ms-windows.misc/9154,29dbb434-5971-4947-a83e-c703e4e62dc0.png,29dbb434-5971-4947-a83e-c703e4e62dc0-full,comp_os_ms-windows_misc,comp_os_ms-windows_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.sport.hockey/52666,44706431-8bc7-4458-8c03-0a0fcc95b498.png,44706431-8bc7-4458-8c03-0a0fcc95b498-full,rec_sport_hockey,rec_sport_hockey,The author of this text originally posted it under the indicated category.,TRUE
groups/soc.religion.christian/20762,c5d557d7-33c1-4259-a4e7-77e4147da1f3.png,c5d557d7-33c1-4259-a4e7-77e4147da1f3-full,soc_religion_christian,soc_religion_christian,The author of this text originally posted it under the indicated category.,TRUE
groups/sci.electronics/53896,6c640c6b-028a-4ad9-8ee2-7e0bef32ef45.png,6c640c6b-028a-4ad9-8ee2-7e0bef32ef45-full,sci_electronics,sci_electronics,The author of this text originally posted it under the indicated category.,TRUE
groups/sci.med/58849,acedc15f-043c-4aa4-91df-8439f0fe0188.png,acedc15f-043c-4aa4-91df-8439f0fe0188-full,sci_med,sci_med,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.motorcycles/103235,60b5d257-4c0d-412f-bc94-b1a42a8ea5cd.png,60b5d257-4c0d-412f-bc94-b1a42a8ea5cd-full,rec_motorcycles,rec_motorcycles,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.graphics/38433,b097ed61-02a9-4e85-ae9b-c69dba42a735.png,b097ed61-02a9-4e85-ae9b-c69dba42a735-full,comp_graphics,comp_graphics,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.windows.x/68242,43087867-6e1f-4b42-920c-c55f54085892.png,43087867-6e1f-4b42-920c-c55f54085892-full,comp_windows_x,comp_windows_x,The author of this text originally posted it under the indicated category.,TRUE
groups/sci.med/59242,c78b9b4b-3e13-472e-b331-050344ac3c72.png,c78b9b4b-3e13-472e-b331-050344ac3c72-full,sci_med,sci_med,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.motorcycles/104574,55f83778-ded4-480e-a172-3fae3f3e8350.png,55f83778-ded4-480e-a172-3fae3f3e8350-full,rec_motorcycles,rec_motorcycles,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.sys.ibm.pc.hardware/60980,9193a2ac-2602-4b82-8e6f-a21247a18e8b.png,9193a2ac-2602-4b82-8e6f-a21247a18e8b-full,comp_sys_ibm_pc_hardware,comp_sys_ibm_pc_hardware,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.mideast/77252,da819e2f-b9fe-4798-a364-0c94bcb8dc33.png,da819e2f-b9fe-4798-a364-0c94bcb8dc33-full,,talk_politics_mideast,,
groups/talk.politics.mideast/75927,263bff4c-2009-4892-8aae-6c6a31300ea0.png,263bff4c-2009-4892-8aae-6c6a31300ea0-full,,talk_politics_mideast,,
groups/rec.motorcycles/104945,e32a7b84-b900-4db0-bfda-bec4398ff1b6.png,e32a7b84-b900-4db0-bfda-bec4398ff1b6-full,rec_motorcycles,rec_motorcycles,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.windows.x/67367,0e412568-d6e4-4e63-856b-c1e0eecd17c7.png,0e412568-d6e4-4e63-856b-c1e0eecd17c7-full,comp_windows_x,comp_windows_x,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.misc/178412,a352cd2a-257a-468d-87ea-e9b726e3a091.png,a352cd2a-257a-468d-87ea-e9b726e3a091-full,talk_politics_misc,talk_politics_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.mideast/75367,d95c9cb1-d575-438a-805f-7d6a003ef517.png,d95c9cb1-d575-438a-805f-7d6a003ef517-full,,talk_politics_mideast,,
groups/rec.sport.hockey/53644,90178a47-7905-4a73-a38d-5ad94fd583c5.png,90178a47-7905-4a73-a38d-5ad94fd583c5-full,rec_sport_hockey,rec_sport_hockey,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.religion.misc/83435,9025b41d-695f-4706-ac1e-a7c831ee62b5.png,9025b41d-695f-4706-ac1e-a7c831ee62b5-full,talk_religion_misc,talk_religion_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.windows.x/67054,3f5e56f7-b526-4908-9407-3d373988dded.png,3f5e56f7-b526-4908-9407-3d373988dded-full,comp_windows_x,comp_windows_x,The author of this text originally posted it under the indicated category.,TRUE
groups/sci.med/58903,0dc27356-42a4-44b4-852f-8ae3eb867c06.png,0dc27356-42a4-44b4-852f-8ae3eb867c06-full,sci_med,sci_med,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.windows.x/66455,d2b7fc94-bbb9-4db8-99b9-d2ce58030223.png,d2b7fc94-bbb9-4db8-99b9-d2ce58030223-full,comp_windows_x,comp_windows_x,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.sys.ibm.pc.hardware/60880,e3866137-e700-4c55-8459-c80cd5b42dd7.png,e3866137-e700-4c55-8459-c80cd5b42dd7-full,comp_sys_ibm_pc_hardware,comp_sys_ibm_pc_hardware,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.misc/179044,005c9590-db43-4b20-88de-f5c8aba3b84f.png,005c9590-db43-4b20-88de-f5c8aba3b84f-full,talk_politics_misc,talk_politics_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.guns/54286,e3f4e06d-4567-4c57-8a99-8bf23d53081d.png,e3f4e06d-4567-4c57-8a99-8bf23d53081d-full,talk_politics_guns,talk_politics_guns,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.sport.hockey/53843,490075f3-a738-4446-b25b-3ec9c0c8e4ed.png,490075f3-a738-4446-b25b-3ec9c0c8e4ed-full,rec_sport_hockey,rec_sport_hockey,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.autos/103151,71927b5e-7de5-4508-8dca-1bab3df3746a.png,71927b5e-7de5-4508-8dca-1bab3df3746a-full,rec_autos,rec_autos,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.graphics/38395,af1faaf1-8be0-4464-b7b9-f624875170e0.png,af1faaf1-8be0-4464-b7b9-f624875170e0-full,comp_graphics,comp_graphics,The author of this text originally posted it under the indicated category.,TRUE
groups/alt.atheism/53511,714851a8-2fc6-4d15-b597-3dc0f9f8b792.png,714851a8-2fc6-4d15-b597-3dc0f9f8b792-full,alt_atheism,alt_atheism,The author of this text originally posted it under the indicated category.,TRUE
groups/soc.religion.christian/20659,18afbccd-c647-4389-9a78-938ba42225d9.png,18afbccd-c647-4389-9a78-938ba42225d9-full,soc_religion_christian,soc_religion_christian,The author of this text originally posted it under the indicated category.,TRUE
groups/sci.electronics/53739,7fcbdf97-93ab-4d87-89f0-8754f08e11f9.png,7fcbdf97-93ab-4d87-89f0-8754f08e11f9-full,sci_electronics,sci_electronics,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.misc/176875,d8aee800-964d-4d83-9fc3-ea9fff0afda1.png,d8aee800-964d-4d83-9fc3-ea9fff0afda1-full,talk_politics_misc,talk_politics_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.misc/178647,6d77c853-abd4-4b2b-b2df-7709c1b908e0.png,6d77c853-abd4-4b2b-b2df-7709c1b908e0-full,talk_politics_misc,talk_politics_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.os.ms-windows.misc/9877,49ef4261-d94a-40e2-b0a8-810b03ce47dc.png,49ef4261-d94a-40e2-b0a8-810b03ce47dc-full,comp_os_ms-windows_misc,comp_os_ms-windows_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.sys.ibm.pc.hardware/60775,01d39cd2-681b-425a-98a0-a8f17142a45e.png,01d39cd2-681b-425a-98a0-a8f17142a45e-full,comp_sys_ibm_pc_hardware,comp_sys_ibm_pc_hardware,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.motorcycles/104307,c7a6743c-719f-4b0b-81e7-d471d6cd2699.png,c7a6743c-719f-4b0b-81e7-d471d6cd2699-full,rec_motorcycles,rec_motorcycles,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.autos/103224,b54360e9-c067-4a7f-89ee-f83e70ed06d3.png,b54360e9-c067-4a7f-89ee-f83e70ed06d3-full,rec_autos,rec_autos,The author of this text originally posted it under the indicated category.,TRUE
groups/talk.politics.misc/178658,b997a82f-d5f2-485e-a586-8de18242048a.png,b997a82f-d5f2-485e-a586-8de18242048a-full,talk_politics_misc,talk_politics_misc,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.windows.x/67395,4b5baa87-329c-4cff-937f-8f403fcb3e4a.png,4b5baa87-329c-4cff-937f-8f403fcb3e4a-full,comp_windows_x,comp_windows_x,The author of this text originally posted it under the indicated category.,TRUE
groups/sci.crypt/15840,3c567414-cee4-450c-b063-36164a01fff0.png,3c567414-cee4-450c-b063-36164a01fff0-full,sci_crypt,sci_crypt,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.graphics/38273,815044d3-c5b9-431f-8d07-fbb1961e1b7f.png,815044d3-c5b9-431f-8d07-fbb1961e1b7f-full,comp_graphics,comp_graphics,The author of this text originally posted it under the indicated category.,TRUE
groups/soc.religion.christian/20949,5050ca5f-9395-45e4-92d1-88af1274d45d.png,5050ca5f-9395-45e4-92d1-88af1274d45d-full,soc_religion_christian,soc_religion_christian,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.sys.mac.hardware/52263,38effed5-2682-4834-848e-4012ca3f0ed3.png,38effed5-2682-4834-848e-4012ca3f0ed3-full,comp_sys_mac_hardware,comp_sys_mac_hardware,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.graphics/38231,48e53f36-9f0e-4679-a5ad-dd93ac7d527e.png,48e53f36-9f0e-4679-a5ad-dd93ac7d527e-full,comp_graphics,comp_graphics,The author of this text originally posted it under the indicated category.,TRUE
groups/comp.windows.x/67032,69351397-4886-4933-beb3-4596b25b6e8c.png,69351397-4886-4933-beb3-4596b25b6e8c-full,comp_windows_x,comp_windows_x,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.sport.baseball/104775,431c70f4-f8ca-435f-99ef-b6d4f4358cd1.png,431c70f4-f8ca-435f-99ef-b6d4f4358cd1-full,rec_sport_baseball,rec_sport_baseball,The author of this text originally posted it under the indicated category.,TRUE
groups/soc.religion.christian/21734,82274ac4-32f0-4d96-b777-9be1aaa190b4.png,82274ac4-32f0-4d96-b777-9be1aaa190b4-full,soc_religion_christian,soc_religion_christian,The author of this text originally posted it under the indicated category.,TRUE
groups/sci.crypt/15299,35207710-2fa5-4bb5-9524-7d806abb6373.png,35207710-2fa5-4bb5-9524-7d806abb6373-full,sci_crypt,sci_crypt,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.sport.baseball/105086,6e4f1501-8eef-4e3f-b19b-69612e692e47.png,6e4f1501-8eef-4e3f-b19b-69612e692e47-full,rec_sport_baseball,rec_sport_baseball,The author of this text originally posted it under the indicated category.,TRUE
groups/sci.space/61054,f2b50a49-7ab6-4af7-bf2d-81eecf960255.png,f2b50a49-7ab6-4af7-bf2d-81eecf960255-full,sci_space,sci_space,The author of this text originally posted it under the indicated category.,TRUE
groups/soc.religion.christian/21534,094445d6-9acf-4c14-b55b-8511bf6de3a7.png,094445d6-9acf-4c14-b55b-8511bf6de3a7-full,soc_religion_christian,soc_religion_christian,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.sport.baseball/105105,a3efbd3b-0c04-44ea-a2c4-1e6b3c5014bc.png,a3efbd3b-0c04-44ea-a2c4-1e6b3c5014bc-full,rec_sport_baseball,rec_sport_baseball,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.sport.hockey/53568,78277c83-92cb-4193-9253-0968f10fd747.png,78277c83-92cb-4193-9253-0968f10fd747-full,rec_sport_hockey,rec_sport_hockey,The author of this text originally posted it under the indicated category.,TRUE
groups/misc.forsale/76034,299cf838-0649-41d9-88ae-f6ce1859591f.png,299cf838-0649-41d9-88ae-f6ce1859591f-full,misc_forsale,misc_forsale,The author of this text originally posted it under the indicated category.,TRUE
groups/rec.autos/101644,7d6be75c-70cb-4446-943a-70942f21e5b1.png,7d6be75c-70cb-4446-943a-70942f21e5b1-full,rec_autos,rec_autos,The author of this text originally posted it under the indicated category.,TRUE
