index,category_gold,document
8279,sci.space,re how to get there was re comet in temporary orbit around jupiter in article apr stortek com pg sanitas stortek com paul gilmartin writes bill higgins beam jockey higgins fnalf fnal gov wrote while you re at it comet experts explain how a comet gets into jovian orbit to begin with there are non gravitational forces from heating and outgassing when a comet gets into the inner solar system don t forget the galilean satellites of jupiter my poor old physics intuition will be very surprised if these tiny masses sitting very close to jupiter play any role whatsoever in the problem or to put it more technically the extra volume they add to the phase space of possible capture trajectories is negligible jupiter is e kg while the galilean satellites are around e also as i said the few references that i ve looked at do not mention outgassing or breakup as important processes the important thing is a jupiter sun comet reverse slingshot that leads to a weakly jupiter bound orbit for the comet at least a temporary one bill higgins late at night she still doth haunt me fermilab dressed in garments soaked in brine bitnet higgins fnal bitnet though in life i used to hug her internet higgins fnal fnal gov now she s dead i draw the line span hepnet higgins after the tragedy clementine
5142,rec.motorcycles,bike advice i have an kawasaki kx it is in mint condition and starts on the first kick every time i have outgrown the bike and am considering selling it i was told i should ask around does that sound right or should it be higher lower also i am looking for a used zx how much do i have to spend and what year should i look for to get a bike without paying an arm and a leg thanks for the help rob fusi rwf lehigh edu
10453,talk.politics.misc,re bill conklin s letter to a j in article apr colorado edu ajteel dendrite cs colorado edu a j teel writes again the main point no human being not yet born can be bound to any contract wrong it s possible to inherit a debt further no third party can be bound to any contract that they are not a party to see above the constitution for the united states is just such a contract no third party can be bound to it further no human who is not specifically mentioned in article and has not taken an oath or made an affirmation to uphold said const can be bound to uphold or obey it the constitution is not a contract it is a statute please mr teel or anyone show me one case where the u s constitution or any state constitution is considered a contract the const is designed to limit the powers of government not to bind the people it is also designed to delineate the powers of the u s government this argument will be presented in great detail in the next post i can t wait daniel reitman how not to write a deed one case involved the construction of a conveyance to grantees jointly as tenants in common with equal rights and interest in said land and to the survivor thereof in fee simple to have and to hold the same unto the said parties hereto equally jointly as tenants in common with equal rights and interest for the period or term of their lives and to the survivor thereof at the death of the other the court held that the survivorship provision indicated an intent to create a joint tenancy germain v delaine ala so d
3630,misc.forsale,month old polk speakers for sale month old polk system for sale excellent condition month old proof available polk monitor bookshelf speakers are being offered for sale the are excellent and sound great i am going for a higher model so i need to sell these speakers i paid for the pair of bookshelf speakers i am willing to consider the best offer send me your offers e mail suraj cs jhu edu also have excellent condition luxman receiver r and onkyo tape deck ta rw for sale both are in excellent condition and just months old makes an excellent system paid for receiver tape deck and speakers months back will consider the best offer each piece will be sold seperately if wanted e mail best offer to suraj cs jhu edu suraj
7382,sci.electronics,digital answering mach does anybody know anything about the chips d a d a d a chips from dsp telecommunications inc i d greatly appreciate information about price pinouts and peripherals regards henrik bohre
3923,misc.forsale,very bare micronics system bare means what it says you get a case a power supply and a motherboard with ram and a coprocessor everything else is yours to add as you like the case power supply standard desktop case watt power supply with the usual connectors room for five floppy hard drives three visible two internal the motherboard us made micronics slot motherboard with intel dx mhz cpu kb sram cache mb us ram using x mb simms worth alone cyrix d math coprocessor worth alone norton si rating of latest version phoenix bios please do not post email saying but i can get a taiwanese superclone for only including a free toaster i am certain you can find a cheaper brand x board without even breaking a sweat new micronics cpus command a several hundred dollar premium because they are us made use high quality components and are known to be both very reliable and compatible they have been oemed in systems sold by both gateway and zeos at various points in the past check out the ads in the back pages of byte or pc magazine if you want to see this price differential for yourself price complete less if you don t want need the case and power supply the board is fully guaranteed email for further details or for any questions thanks david ruggiero jdavid halcyon com seattle wa home of the moss people
417,alt.atheism,re jewish settlers demolish a mosque in gaza in c iwxm g z news chalmers se d bertil dtek chalmers se bertil jonell writes in article kutluk ccl umist ac uk kutluk ccl umist ac uk kutluk ozguven writes atheists are not mentioned in the quran because from a quranic point of view and a minute s reasoning one can see that there is no such thing but there are people who say that they are atheists if they aren t atheists what are they when the quran uses the word din it means way of individual thinking behaving communal order and protocols based on a set of beliefs this is often interpreted as the much weaker term religion the atheists are not mentioned in the quran along with jews mushriqin christians etc because the latter are all din to have a din you need a set of beliefs assumptions etc to forma a social code for example the marxist have those such as history conflict etc that they do not put idols sometimes they did to represent those assuptions does not mean they are any different from the other mushriq or roughly polytheists there cannot be social atheism because when there is a community that community needs common ideas or standard beliefs to coordinate the society when they inscribe assumptions say nation or progress is the natural consequence of human activity or parlamentarian democracy is doubtlessly the best way of government however they individually insist they do not have gods from the quranic point of view they do therefore by definition atheism does not exist we are a atheist society in fact means we reject the din other than ours atheism can only exist when people reject all the idols gods dogmas suppositions of the society that they part and in that case that is a personal deviation of belief and quran tells about such deviations and disbelief but as i mentioned from a quranic point of looking at things there is no atheism in the macro level i think it took more than one minute kutluk
4038,rec.autos,storing a car long term i bought a car with a defunct engine to use for parts for my old but still running version of the same car the car i bought has good tires is there anything in particular that i should do to store the defunct car long term i d hate to have parts of it go bad someone has told me it s bad for the tires to not move the car once in a while is this true do i need some props to take the weight of the tires best to reply by mail i am getting spotty news delivery kris a kugel hico kak kak hico westmark com
9361,talk.politics.guns,re waco dates are these coincidental richard cower cower csli stanford edu wrote i believe this raid was ill planned because they only had days to plan it and it was continued when failure was obvious because it had a bit part in the much larger political agenda of president clinton i would even suggest that the loss of atf agents is inconsequential in this the context of his political agenda it might even be beneficial to his agenda as it helps point up just how evil these assualt weapons are further proof might be that the atf denied their agents street stories report requests for sufficient fire power important dates feb th nj assembly votes to overturn assault weapon ban feb th compound in waco attacked on feb th the new jersey assembly voted to overturn the assault weapon ban in that state it looked like it might be a tight vote but the senate in n j was going to vote to overturn the ban it would not sit well to have an eastern state overturn an assault weapon ban given clintons stated agenda on gun control i suspect clinton gave the order to get someone or some group with assualt weapons and have the press present they were initially at the incident in waco to record the event for the tv audience the agent on street stories reported that a supervisor was urging them all to get ready fast as they know we are coming i believe this attack continued even tho the probablility of failure was high because it came from the top down after the n j assembly vote the atf had a limited amount of time to come up with something and the wackos in waco fit the bill nicely rich i don t know rich last year when the congress was debating the bushmans crime bill the incident at lubys cafe occured most of the anti gun crap was amended out of the bill anyway could a president order go find some assault weapons and bring the media i hope not frankly the toon meister scares me of course having a democratic majority in congress doesn t help apologies to all demos who support rkba definition toon meister a characatureic name for the current president of the u s clinton aka clintoon aka toon meister rob p
546,comp.graphics,apr toronto siggraph event toronto siggraph what chance s art d graphics and animation on the indigo by ken evans imagicians artware inc when tuesday april pm pm where the mcluhan centre for culture and technology university of toronto a queen s park crescent toronto who members and non members alike non members encouraged to become members abstract imagicians artware inc is entering into early beta site testing on silicon graphics workstations of a new d abstract artwork and animation package called chance s art the package will be described and demonstrated and some of the technical issues will be discussed marketing plans will be outlined the talk will also present some of the technical and business problems increasingly confronting small startup software companies today and some of the opportunities this situation presents time after the event will be allocated for hands on demonstrations to interested parties silicon graphics is graciously providing an indigo for this event myck kupka will also be demonstrating his computerized interactive reflective stereoscope which is installed upstairs in the mcluhan centre so feel free to drop by for a demonstration before or after the event btw be sure to sing happy birthday myck the names of nominees for our siggraph executive offices will be announced at this meeting nominations will still be open until the election at our may th event call myck kupka at or fax to directions the mcluhan coachhouse is on the east side of queen s park crescent just north of wellesley south of st joseph st behind east of queen s park crescent which is the centre for mediaeval studies for information on toronto siggraph membership contact michael mccool via internet mccool dgp utoronto ca voice fax
2405,comp.sys.mac.hardware,mac ii scsi pmmu socket question this is a posting for my friend who does not have usenet access please contact him not me directly thank you the mac ii is supposed to have a socket for the mc pmmu chip could anyone let me know where that socket is on the motherboard i have obtained a pmmu chip mhz from a surplus store and would like to install it onto my mac ii circa but i cannot see the socket myself when i tried to install it could anyone send me the pinouts for the mac ii scsi db interface thank you contact david chan bzone attmail com
2057,comp.sys.ibm.pc.hardware,re can t get x to work w m ati ultra pro in article apr aio jsc nasa gov mancus sweetpea jsc nasa gov keith mancus writes i am unable to get my gateway dx to run windows in x i ordered a m ati ultra pro and i m pretty sure the m is really there because i can select x x but no matter what i do with the flex program in the ati s program group x remains ghosted out i have windows build of the drivers dos the drivers were installed by gateway not by me so perhaps there s a file missing from the hard drive it runs x just fine i did go into the desktop window and select x sometimes it refuses ghosted out other time it accepts it but when i hit ok and re enter desktop it s back to x at no time does it unghost x in the main flex window help maybe you need to go into mach install and set a refresh rate for x you might need to use custom monitor option dan daniel matthew coleman internet dcoleman ccwf cc utexas edu dcoleman utxvms cc utexas edu the university of texas at austin decnet utxvms dcoleman electrical computer engineering bitnet dcoleman utxvms bitnet
2537,comp.sys.mac.hardware,re recommendations for removable storage media wanted in article apr kth se d jwa eufrat nada kth se jon wtte writes if you have no friends buy a mb optical huh if i buy a m optical i might lose my friends why do they smell bad and stop worrying about cartridge wear bernoulli or crashes syquest on a serious note i have heard the tales about syquest failures but i am curious about jon s comments on cartridge wear for the the bernoullis can someone elaborate is there a general consensus that the m opticals are the most reliable i am mostly concerned about media failures as opposed to drive mechanism failures julian vrieslander neurobiology behavior mudd hall cornell university ithaca ny internet eacj theory tc cornell edu bitnet eacj crnlthry uucp cornell batcomputer eacj
2422,comp.sys.mac.hardware,re ad conversion b clark nwu edu brian clark writes in article apr vax oxford ac uk roes vax oxford ac uk wrote i am working a data acquisition and analysis program to collect data from insect sensory organs stuff deleted another alternative is the use of the sound input port can you really make due with the non existent dynamic range of an bit converter of probably dubious linearity and monotonicity and perhaps ac coupled as well it clearly depends on the type of questions you are asking but in many cases it will do fine the critical information from the neuron is in the firing frequency maximum about action potentials per seconds and not in the amplitude of the signal or in details of the signal shape so the resolution of about you get with an bit convertor is more then sufficient ac coupling does not have to be a problem either since in many cases you are not interested in the dc level my pre amplifier is ac coupled also the critical point is the lowest frequency that will pass if the cutoff point is to high the action potentials will be slightly distorted but even that normally does not matter since it is the occurrence of the spike that is important however i do want to know what exactly i can expect before i start battling with the toolbox to get it going as yet i have no clue were to start looking for the technical specifications peter roes vax oxford ac uk
4174,rec.autos,re acura integra speed i have a acura integra speed with miles on it it is positively the worst car i have ever owned i had an prelude that had k miles on it when i sold it and it was still going strong this is with religious attention to maintenance such as oil changes etc both cars were driven in exactly the same manner it has gone through two clutches which are underrated sets of tires really eats tires in the front even with careful align all struts started leaking about k miles windshield wiper motor burned up service note on this one seek stop working on radio about k miles two timing belts constant error signals from computer and finally a rod bearing went out on the no piston seriously damaging the crankshaft contaminating the engine etc when the overhaul was done last week it required new crankshaft one new cam shaft has two because the camshaft shattered when they tried to mill it the camshaft took weeks to get because it is on national back order everything on the engine is unique to the year they went to a new design in parts are very expensive no way would i ever buy another acura it is highly overrated
9177,soc.religion.christian,interdisc bible research inst hi anyone know anything about the interdisciplinary bible research institute operating out of hatfield pa i m really interested in their theories on old earth as opposed to young earth and what they believe about evolution thanks in the master charley seek god and you will find among other things piercing pleasure seek pleasure and you will find boredom disillusionment and enslavement john white eros defiled note that i do not accept discussions of evolution here as there is a dedicated group for that talk origins clh
